genres,genres,,,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Thriller,Action,Adventure,Fantasy,Thriller,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Crime|Mystery|Thriller,Crime,Mystery,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Biography|Drama|Thriller,Biography,Drama,Thriller,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Drama|Music,Drama,Music,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Comedy|Music,Comedy,Music,,,,,,,,,,,,,,,,,
Biography|Drama|Music,Biography,Drama,Music,,,,,,,,,,,,,,,,
Crime|Drama|Mystery,Crime,Drama,Mystery,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Horror,Drama,Horror,,,,,,,,,,,,,,,,,
Drama|Western,Drama,Western,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Comedy|Horror|Thriller,Action,Comedy,Horror,Thriller,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Horror|Sci-Fi|Thriller,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Drama|Family|Fantasy|Romance,Drama,Family,Fantasy,Romance,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Documentary,Comedy,Documentary,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Crime|Documentary|Drama,Crime,Documentary,Drama,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Fantasy|Horror,Fantasy,Horror,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Horror|Sci-Fi|Thriller,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Horror|Mystery,Horror,Mystery,,,,,,,,,,,,,,,,,
Biography|Comedy|Documentary,Biography,Comedy,Documentary,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Comedy|Drama|Family|Sport,Comedy,Drama,Family,Sport,,,,,,,,,,,,,,,
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Action,Adventure,Animation,Family,Fantasy,Sci-Fi,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Adventure|Drama|War,Adventure,Drama,War,,,,,,,,,,,,,,,,
Adventure|Comedy|Sci-Fi,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,,
Comedy|Thriller,Comedy,Thriller,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Fantasy|Horror|Thriller,Fantasy,Horror,Thriller,,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Comedy|Documentary|Music,Comedy,Documentary,Music,,,,,,,,,,,,,,,,
Western,Western,,,,,,,,,,,,,,,,,,
Comedy|Drama|Music,Comedy,Drama,Music,,,,,,,,,,,,,,,,
Action|Comedy|Crime,Action,Comedy,Crime,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|War,Drama,War,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Animation|Comedy,Animation,Comedy,,,,,,,,,,,,,,,,,
Action|Adventure|Romance|Western,Action,Adventure,Romance,Western,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Fantasy,Comedy,Fantasy,,,,,,,,,,,,,,,,,
Action|Fantasy|Horror|Sci-Fi|Thriller,Action,Fantasy,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Drama|War,Drama,War,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Crime|Drama|History|Romance,Crime,Drama,History,Romance,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Family|Fantasy|Musical,Family,Fantasy,Musical,,,,,,,,,,,,,,,,
Fantasy|Horror,Fantasy,Horror,,,,,,,,,,,,,,,,,
Comedy|Crime,Comedy,Crime,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Crime|Thriller,Comedy,Crime,Thriller,,,,,,,,,,,,,,,,
Biography|Drama,Biography,Drama,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy|Documentary,Comedy,Documentary,,,,,,,,,,,,,,,,,
Comedy|Drama|Horror,Comedy,Drama,Horror,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama|Family,Drama,Family,,,,,,,,,,,,,,,,,
Action|Comedy|Thriller,Action,Comedy,Thriller,,,,,,,,,,,,,,,,
Action|Comedy,Action,Comedy,,,,,,,,,,,,,,,,,
Comedy|Crime|Drama|Thriller,Comedy,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Drama|Family|Western,Drama,Family,Western,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Horror|Sci-Fi|Thriller,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama|Horror|Sci-Fi|Thriller,Comedy,Drama,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,
Drama|Family|Music,Drama,Family,Music,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sport,Comedy,Drama,Romance,Sport,,,,,,,,,,,,,,,
Drama|History|War,Drama,History,War,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Drama|Sci-Fi|Thriller,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Drama|Horror|Romance,Drama,Horror,Romance,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Action|Drama|Thriller,Action,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Drama|Sport,Action,Drama,Sport,,,,,,,,,,,,,,,,
Crime|Thriller,Crime,Thriller,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Thriller,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Adventure|Crime|Drama,Adventure,Crime,Drama,,,,,,,,,,,,,,,,
Drama|Family|Fantasy|Romance,Drama,Family,Fantasy,Romance,,,,,,,,,,,,,,,
Action|Adventure|Crime|Drama,Action,Adventure,Crime,Drama,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Action|Crime,Action,Crime,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Thriller,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Fantasy|Horror|Mystery,Fantasy,Horror,Mystery,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sci-Fi,Comedy,Drama,Romance,Sci-Fi,,,,,,,,,,,,,,,
Action|Horror|Thriller,Action,Horror,Thriller,,,,,,,,,,,,,,,,
Crime|Drama|Music,Crime,Drama,Music,,,,,,,,,,,,,,,,
Comedy|Music|Romance,Comedy,Music,Romance,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Adventure|Family|Fantasy|Musical,Adventure,Family,Fantasy,Musical,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Adventure|Family|Sport,Adventure,Family,Sport,,,,,,,,,,,,,,,,
Romance,Romance,,,,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Sci-Fi,Action,Adventure,Animation,Comedy,Sci-Fi,,,,,,,,,,,,,,
Adventure|Comedy|Romance,Adventure,Comedy,Romance,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Drama|Fantasy|Romance|War,Drama,Fantasy,Romance,War,,,,,,,,,,,,,,,
Comedy|Western,Comedy,Western,,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Sport,Comedy,Sport,,,,,,,,,,,,,,,,,
Drama|Sci-Fi|Thriller,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Documentary|History|Sport,Documentary,History,Sport,,,,,,,,,,,,,,,,
Horror|Mystery|Sci-Fi|Thriller,Horror,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Comedy,Action,Adventure,Comedy,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Comedy|Musical|Romance,Comedy,Musical,Romance,,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Comedy|Fantasy,Comedy,Fantasy,,,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Comedy|Drama|Music,Comedy,Drama,Music,,,,,,,,,,,,,,,,
Horror|Mystery|Sci-Fi,Horror,Mystery,Sci-Fi,,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Documentary,Comedy,Documentary,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Drama|Horror|Thriller,Action,Drama,Horror,Thriller,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Crime|Drama|Sci-Fi,Comedy,Crime,Drama,Sci-Fi,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Family|Musical|Romance|Short,Comedy,Family,Musical,Romance,Short,,,,,,,,,,,,,,
Comedy|Documentary|War,Comedy,Documentary,War,,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Sport,Comedy,Sport,,,,,,,,,,,,,,,,,
Comedy|Drama|Family,Comedy,Drama,Family,,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Drama|Romance|Sci-Fi|Thriller,Drama,Romance,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Comedy|Crime|Drama,Comedy,Crime,Drama,,,,,,,,,,,,,,,,
Comedy|Drama|Family|Romance,Comedy,Drama,Family,Romance,,,,,,,,,,,,,,,
Comedy|Horror,Comedy,Horror,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Drama|History,Drama,History,,,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Thriller,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
Adventure|Comedy|Sci-Fi,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Comedy|Sci-Fi,Comedy,Sci-Fi,,,,,,,,,,,,,,,,,
Comedy|Musical,Comedy,Musical,,,,,,,,,,,,,,,,,
Drama|Musical,Drama,Musical,,,,,,,,,,,,,,,,,
Comedy|Drama|Family,Comedy,Drama,Family,,,,,,,,,,,,,,,,
Drama|Family|Musical|Romance,Drama,Family,Musical,Romance,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy|Musical,Adventure,Animation,Comedy,Family,Fantasy,Musical,,,,,,,,,,,,,
Animation|Family|Fantasy|Music,Animation,Family,Fantasy,Music,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Music|Romance,Comedy,Music,Romance,,,,,,,,,,,,,,,,
Action|Comedy|Horror,Action,Comedy,Horror,,,,,,,,,,,,,,,,
Drama|Romance|War,Drama,Romance,War,,,,,,,,,,,,,,,,
Biography|Crime|Drama,Biography,Crime,Drama,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama|Mystery|Romance|Thriller,Comedy,Drama,Mystery,Romance,Thriller,,,,,,,,,,,,,,
Horror|Sci-Fi|Thriller,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Adventure|Drama|Western,Adventure,Drama,Western,,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Comedy|Horror|Sci-Fi,Action,Comedy,Horror,Sci-Fi,,,,,,,,,,,,,,,
Crime|Drama|Mystery,Crime,Drama,Mystery,,,,,,,,,,,,,,,,
Comedy|Sci-Fi,Comedy,Sci-Fi,,,,,,,,,,,,,,,,,
Horror|Mystery,Horror,Mystery,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Comedy,Action,Comedy,,,,,,,,,,,,,,,,,
Crime|Drama|Romance,Crime,Drama,Romance,,,,,,,,,,,,,,,,
Biography|Crime|Drama|Romance,Biography,Crime,Drama,Romance,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Thriller,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Sport,Drama,Sport,,,,,,,,,,,,,,,,,
Adventure|Drama|Romance|Western,Adventure,Drama,Romance,Western,,,,,,,,,,,,,,,
Animation|Comedy|Drama,Animation,Comedy,Drama,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Biography|Comedy|Drama,Biography,Comedy,Drama,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Adventure|Documentary|Drama|Sport,Adventure,Documentary,Drama,Sport,,,,,,,,,,,,,,,
Drama|Musical|Romance,Drama,Musical,Romance,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Crime|Documentary,Crime,Documentary,,,,,,,,,,,,,,,,,
Drama|Music|Romance,Drama,Music,Romance,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Animation|Biography|Documentary|Drama|History|War,Animation,Biography,Documentary,Drama,History,War,,,,,,,,,,,,,
Adventure,Adventure,,,,,,,,,,,,,,,,,,
Documentary|War,Documentary,War,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Documentary|History,Documentary,History,,,,,,,,,,,,,,,,,
Drama|Western,Drama,Western,,,,,,,,,,,,,,,,,
Biography|Documentary|History,Biography,Documentary,History,,,,,,,,,,,,,,,,
Crime|Drama|Romance,Crime,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Drama|Thriller,Comedy,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror|Thriller,Comedy,Fantasy,Horror,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Drama|Music|Sci-Fi,Action,Adventure,Comedy,Drama,Music,Sci-Fi,,,,,,,,,,,,,
Action|Comedy|Romance|Thriller,Action,Comedy,Romance,Thriller,,,,,,,,,,,,,,,
Biography|Comedy|Drama|Music,Biography,Comedy,Drama,Music,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sport,Comedy,Drama,Romance,Sport,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama|Sci-Fi,Comedy,Drama,Sci-Fi,,,,,,,,,,,,,,,,
Animation|Comedy|Family|Romance,Animation,Comedy,Family,Romance,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,,,,,,,,,,,
Comedy|Drama|Musical|Romance,Comedy,Drama,Musical,Romance,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Horror|Romance|Sci-Fi,Horror,Romance,Sci-Fi,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Crime,Comedy,Crime,,,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Sci-Fi|Thriller,Drama,Horror,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Action|Comedy|Fantasy|Horror,Action,Comedy,Fantasy,Horror,,,,,,,,,,,,,,,
Action|Crime|Drama,Action,Crime,Drama,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Comedy|Horror,Comedy,Horror,,,,,,,,,,,,,,,,,
Crime|Drama|Horror|Mystery|Thriller,Crime,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Crime|Drama|Film-Noir|Mystery|Thriller,Crime,Drama,Film-Noir,Mystery,Thriller,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Comedy|Crime|Drama,Comedy,Crime,Drama,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Fantasy|Musical|Sci-Fi,Comedy,Fantasy,Musical,Sci-Fi,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Horror|Mystery,Horror,Mystery,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy|Musical,Comedy,Musical,,,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Action|Adventure|History|Western,Action,Adventure,History,Western,,,,,,,,,,,,,,,
Comedy|Horror,Comedy,Horror,,,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Thriller,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Drama|Fantasy,Drama,Fantasy,,,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Documentary|Drama|History|News,Documentary,Drama,History,News,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Fantasy|Horror,Drama,Fantasy,Horror,,,,,,,,,,,,,,,,
Drama|Musical,Drama,Musical,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Biography|Crime|Documentary|History|Thriller,Biography,Crime,Documentary,History,Thriller,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Horror|Thriller,Drama,Horror,Thriller,,,,,,,,,,,,,,,,
Biography|Drama|Music,Biography,Drama,Music,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Fantasy,Drama,Fantasy,,,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Drama|Music,Drama,Music,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Documentary,Comedy,Documentary,,,,,,,,,,,,,,,,,
Comedy|Horror,Comedy,Horror,,,,,,,,,,,,,,,,,
Adventure|Drama,Adventure,Drama,,,,,,,,,,,,,,,,,
Western,Western,,,,,,,,,,,,,,,,,,
Crime|Drama|Film-Noir,Crime,Drama,Film-Noir,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Comedy|Horror|Thriller,Comedy,Horror,Thriller,,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Drama|Horror,Drama,Horror,,,,,,,,,,,,,,,,,
Adventure|Family,Adventure,Family,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Adventure|Drama,Adventure,Drama,,,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Comedy|Crime|Romance,Comedy,Crime,Romance,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Romance|War,Drama,Romance,War,,,,,,,,,,,,,,,,
Western,Western,,,,,,,,,,,,,,,,,,
Drama|Music,Drama,Music,,,,,,,,,,,,,,,,,
